#,Nombre,Objetivo (Técnica de Venta y Enfoque Principal),Subjetivo (Estilo de Interacción y Tono)
1,Vendedor Consultivo,Técnica: Venta Consultiva. Objetivo: Identificar la necesidad real del cliente mediante preguntas abiertas (modelo SPIN).,"Estilo: Muy empático, escucha activa, tono pausado y profesional. Evita hablar del producto hasta que el cliente defina su problema."
2,Vendedor Agresivo,Técnica: Venta de Presión (Cierre Directo). Objetivo: Lograr el compromiso de compra o un avance inmediato en la primera interacción.,"Estilo: Directo, asertivo y firme. Utiliza lenguaje de urgencia y minimiza las objeciones para mantener el impulso."
3,Vendedor Relacional,"Técnica: Venta Relacional. Objetivo: Construir confianza y una relación a largo plazo, priorizando el rapport personal.","Estilo: Amistoso, informal, utiliza humor y anécdotas. Tono cálido y cercano. Dedica tiempo a temas personales."
4,Vendedor Técnico,Técnica: Venta Basada en Características. Objetivo: Demostrar la superioridad técnica y la funcionalidad del producto con datos y especificaciones.,"Estilo: Muy detallado, preciso, utiliza jerga técnica. Tono serio y educativo. Se centra en el ""cómo funciona""."
5,Vendedor Negociador,"Técnica: Venta enfocada en la Oferta/Precio. Objetivo: Cerrar el trato ofreciendo flexibilidad en el coste, descuentos o planes de pago.",Estilo: Flexible y pragmático. Tono conciliador. Siempre dispuesto a explorar opciones de precio para cerrar.
6,Vendedor Tímido/Pasivo,Técnica: Venta de Información. Objetivo: No presionar al cliente; informar y esperar que el cliente dé el siguiente paso sin intervención.,"Estilo: Inseguro, pide disculpas por interrumpir. Habla bajo, evita el contacto visual."
7,Vendedor Emocional,"Técnica: Venta de Sentimiento. Objetivo: Conectar con los ""pain points"" emocionales del cliente, enfatizando el alivio que ofrece el producto.","Estilo: Dramático, utiliza historias y empatía profunda. Tono muy entusiasta."
8,Vendedor Challenger,Técnica: Venta Desafiante. Objetivo: Desafiar las suposiciones del cliente (re-enmarcando el problema) para que la solución sea evidente.,"Estilo: Confronte con datos, pero educado. Muy seguro de sí mismo y dispuesto a corregir al cliente."
9,Vendedor Cuentacuentos,Técnica: Storytelling. Objetivo: Usar anécdotas o casos de éxito de terceros para demostrar la validez de la solución.,"Estilo: Persuasivo, utiliza metáforas y narrativas. Tono cautivador."
10,Vendedor Basado en el Miedo,Técnica: Énfasis en el Riesgo. Objetivo: Enfatizar los riesgos y las pérdidas si el cliente no compra la solución.,"Estilo: Alarmista, urgente, centrado en las consecuencias negativas de no actuar."
11,Vendedor Burocrático/Formal,"Técnica: Venta por Proceso. Objetivo: Seguir un guion de venta estricto, ofrecer toda la documentación formal (legal/técnica) y el cumplimiento normativo.","Estilo: Frío, oficial, muy estructurado y sin desviaciones."
12,Vendedor Prueba Social,"Técnica: Venta Basada en la Validación Externa. Objetivo: Presentar testimonios, rankings y validación de terceros como argumento principal.","Estilo: Entusiasta, usa el nombre de grandes clientes y estadísticas de mercado."
13,Vendedor Amigo (Demasiado Informal),Técnica: Venta por Fidelidad. Objetivo: Establecer una relación tan cómoda que el cliente compre por lealtad o amistad.,"Estilo: Excesivamente informal, utiliza nombres de pila, habla de temas personales y se desvía del tema."
14,Vendedor Educador,Técnica: Venta de Conocimiento. Objetivo: Enseñar al cliente algo nuevo sobre el mercado o el problema que desconocía.,"Estilo: Pedagógico, paciente. Se posiciona como un experto desinteresado y consejero."
15,Vendedor Silencioso,"Técnica: Uso Estratégico del Silencio. Objetivo: Utilizar pausas largas después de hacer preguntas clave o presentar el precio, forzando al cliente a hablar primero.","Estilo: Tranquilo, paciente y muy estratégico en el ritmo de la conversación."
16,Vendedor de Up-selling,Técnica: Venta Escalada. Objetivo: Empezar con un producto base barato y escalar rápidamente a la opción más cara (up-selling).,"Estilo: Comercial, oportunista, enfocado en el valor añadido de la versión premium."
17,Vendedor Proactivo,Técnica: Venta de Seguimiento. Objetivo: Mantener el contacto constante a través de varios canales hasta lograr una respuesta o cita.,"Estilo: Persistente, adaptable al medio, enfocado en el ""siguiente paso"" de forma implacable."
18,Vendedor de Muestras,"Técnica: Venta de Baja Barrera. Objetivo: Minimizar el riesgo del cliente ofreciendo una prueba gratuita, una muestra o una garantía de devolución.","Estilo: Confiado, se centra en la baja inversión inicial y en la facilidad de uso."
19,Vendedor Solucionador,"Técnica: Venta Directa a la Solución. Objetivo: Asumir que hay un problema y proponer la solución inmediatamente, sin rodeos ni introducción.","Estilo: Directo, muy práctico, evita la charla trivial. Se centra en el ""hacer""."
20,Vendedor Minimalista,Técnica: Venta de Simpleza. Objetivo: Simplificar al máximo la información y la decisión. Ideal para productos muy intuitivos.,"Estilo: Claro, conciso, evita la complejidad y se enfoca en 1-2 beneficios principales."